"Season","TeamName","eFGPct","RankeFGPct","TOPct","RankTOPct","ORPct","RankORPct","FTRate","RankFTRate"
2026,"Colgate",49.2920353982301,113,15.7863264899342,272,35.0148367952522,309,32.3893805309735,113
2026,"Colorado",51.8463810930576,215,16.0719410695494,258,26.6497461928934,47,28.5081240768095,53
2026,"Colorado St.",52.4263431542461,233,13.6217638636276,351,26.8011527377522,50,27.9029462738302,39
2026,"Columbia",47.0439189189189,54,15.4263156937294,285,26.4102564102564,40,33.6148648648649,140
2026,"Connecticut",41.8730650154799,3,19.407874405093,88,28.2710280373832,96,41.0216718266254,291
2026,"Coppin St.",58.2535885167464,353,16.0461071686999,261,37.3101952277657,337,40.5502392344498,283
2026,"Cornell",54.9565217391304,296,15.6783044204108,278,29.483282674772,128,39.6521739130435,268
2026,"Creighton",48.3098591549296,85,14.3930433623749,328,32,222,20,2
2026,"Dartmouth",50.3164556962025,147,13.9202812757866,342,29.1105121293801,118,25,17
2026,"Davidson",49.906191369606,133,17.7004771432969,167,29.080118694362,116,40.5253283302064,280
2026,"Dayton",51.0339734121123,173,24.3545190844079,4,30,148,33.3825701624815,134
2026,"DePaul",47.7205882352941,70,20.0897500668668,58,31.1004784688995,186,36.7647058823529,205
2026,"Delaware",50.2487562189055,143,15.3800650695061,288,31.0055865921788,180,28.1923714759536,46
2026,"Delaware St.",56.9981583793738,336,19.7820313215496,69,29.4701986754967,127,34.622467771639,160
2026,"Denver",61.5,364,14.807892750602,317,37.3801916932907,339,37.1666666666667,212
2026,"Detroit Mercy",54.0697674418605,276,14.598798788158,321,32.0113314447592,223,39.5348837209302,263
2026,"Drake",49.3464052287582,118,12.5336380727688,361,29.5212765957447,130,31.0457516339869,83
2026,"Drexel",50.25,144,17.1771731472473,197,29.0858725761773,117,42.6666666666667,309
2026,"Duke",40.4692082111437,1,18.9713186989265,99,26.5217391304348,43,23.900293255132,10
2026,"Duquesne",51.1844331641286,180,17.6090061329077,171,30.1675977653631,153,44.6700507614213,325
2026,"East Carolina",52.6941362916006,252,18.413019702584,130,29.9168975069252,145,33.4389857369255,137
2026,"East Tennessee St.",49.2673992673993,112,19.8659776872934,65,27.9761904761905,77,36.2637362637363,192
2026,"East Texas A&M",54.8355899419729,294,18.8970229380185,104,31.0810810810811,185,38.2978723404255,243
2026,"Eastern Illinois",54.1315345699831,278,17.4922828164045,177,37.6470588235294,341,34.2327150084317,152
2026,"Eastern Kentucky",54.6511627906977,290,14.5328841778515,324,30.835734870317,170,36.5448504983389,199
2026,"Eastern Michigan",51.4264264264264,189,16.9246916819732,209,29.9741602067183,147,27.9279279279279,41
2026,"Eastern Washington",57.8020134228188,347,17.7915696922679,161,32.6086956521739,245,36.5771812080537,201
2026,"Elon",54.6511627906977,290,16.4035847489085,241,32.3119777158774,238,37.0431893687708,210
2026,"Evansville",55.0788091068301,300,18.7793427230047,107,32.0872274143302,226,36.2521891418564,190
2026,"FIU",51.4508928571429,192,20,62,40.6015037593985,360,35.2678571428571,170
2026,"Fairfield",51.1904761904762,182,15.2328405649345,295,26.6187050359712,46,31.6526610644258,95
2026,"Fairleigh Dickinson",60.4033970276008,363,15.9312628658373,266,31.6793893129771,209,36.9426751592357,207
2026,"Florida",44.8377581120944,18,15.3978812515398,287,24.5977011494253,11,35.9882005899705,184
2026,"Florida A&M",54.2824074074074,282,18.746005822623,109,37.1900826446281,335,40.9722222222222,290
2026,"Florida Atlantic",52.7923211169284,257,17.0884939867169,201,28.8288288288288,107,35.7766143106457,181
2026,"Florida Gulf Coast",53.0664395229983,262,17.8471834913553,159,31.1239193083573,187,47.870528109029,348
2026,"Florida St.",51.5256588072122,195,23.7143546959251,5,34.1801385681293,287,40.7766990291262,286
2026,"Fordham",47.2222222222222,59,15.8730158730159,268,26.0606060606061,32,23.3716475095785,8
2026,"Fresno St.",51.4382402707276,191,20.8541087142882,34,30.7909604519774,167,30.9644670050761,81
2026,"Furman",52.0985401459854,225,13.8349168887713,344,28.1733746130031,92,27.1897810218978,32
