rank,name,team,conference,position,class_year,height,season,games_played,ortg,pct_poss,efg_pct,ts_pct,three_pt_rate,ft_rate,ppg,rpg,apg,ast_rate,to_rate,or_pct,dr_pct,fc_per_40,minutes_pct
169,CJ Luster,Stony Brook,,,Jr,6-3,2025,0,115.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
170,Payton Sparks,Ball St.,,,Sr,6-10,2025,0,115.7,0.0,0.0,0.0,0.0,86.4,0.0,0.0,0.0,0.0,0.0,13.5,22.7,0.0,0.0
171,Chaz Lanier,Tennessee,,,Sr,6-5,2025,0,115.5,0.0,0.0,0.0,33.7,0.0,0.0,0.0,0.0,0.0,8.8,0.0,0.0,0.0,0.0
172,Brice Williams,Nebraska,,,Sr,6-7,2025,0,115.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
173,Chucky Hepburn,Louisville,,,Sr,6-2,2025,0,115.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.4,0.0,0.0,0.0,0.0,0.0
175,Zeb Jackson,VCU,,,Sr,6-5,2025,0,115.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
177,Nik Graves,Charlotte,,,Jr,6-3,2025,0,115.0,0.0,0.0,0.0,0.0,58.9,0.0,0.0,0.0,0.0,9.1,0.0,0.0,0.0,0.0
178,Zakai Zeigler,Tennessee,,,Sr,5-9,2025,0,114.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.9,0.0,0.0,0.0,0.0,0.0
179,Darrion Williams,Texas Tech,,,Jr,6-6,2025,0,114.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180,Mark Mitchell,Missouri,,,Jr,6-9,2025,0,114.7,0.0,0.0,0.0,0.0,70.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
182,Adante' Holiman,Georgia Southern,,,Jr,6-0,2025,0,114.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
183,Viktor Lakhin,Clemson,,,Sr,6-11,2025,0,114.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
184,Jacari Lane,North Alabama,,,Jr,6-0,2025,0,114.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.6
185,Isaac Bruns,South Dakota,,,So,6-4,2025,0,114.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
186,Marcus Williams,San Francisco,,,Sr,6-2,2025,0,114.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0
187,Malik Reneau,Indiana,,,Jr,6-9,2025,0,114.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
188,Isaiah Hawthorne,Northern Colorado,,,Sr,6-8,2025,0,114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
